Question,Answer  (Use || as a separator),Field Type,Other (Questions having the other option text)
If assessment is for court please indicate the next date expected for a court hearing (use NA if not court related),,textarea,
Your primary occupation (include paid or unpaid occupations),,textarea,
Hours per week (average) you are engaged in this occupation,"0-5||5-10||10-20||20-30||
30-40||40-50||50-60||60-80||80 +",radiobutton,
Current prescription medication use (mark all that apply),none||blood pressure||anti- anxiety||anti-depressant||other (Please list any other types or names of medication),checkbox,other (Please list any other types or names of medication)
Select any conditions that have applied to you in the last 24 months (mark all that apply),heart condition||stomach problems||liver condition||emergency room visits||pregnancy||none of these,checkbox,
Current body weight,75-100||100-125||125-150||150-175||175-200||200-225||225-250||250-275||275-300||300+,dropdown,
Currently pregnant or within the last 24 months,Yes||No,radiobutton,
Select any anxiety related symptoms you have experienced on 3 occasions or more within the last 3 months (mark all that apply),"insomnia||rapid heart beat||racing thoughts||spontaneous sweating||panic attacks||unusual worrying||calming yourself down with alcohol, medicine or another drug||chest pain||dizziness||no symptoms from this list present in the last 3 months",checkbox,
Select any symptoms related to sadness or depression you have experienced in the last 3 months (mark all that apply),"unusual crying||feeling hopeless||low energy||desire to sleep too much||low self esteem||difficulty concentrating or staying focused||problems in close relationships||parenting problems||loss of motivation||increase of conflict at work, home or school||difficulty controlling anger||weight gain or weight loss||ow appetite or excessive appetite||excess use of alcohol, medicine or another drug||thoughts of hurting yourself||suicidal thoughts||no symptoms from this list present in the last 3 months",checkbox,
"At what age did you first experiment with alcohol for the purpose of feeling a physical effect or ""buzz"" ?", ,textarea,
"Indicate any blood relatives who you believe have or had, an alcohol or substance abuse problem (mark all that apply)",grandparent(s)||father||mother||aunt(s)||uncle(s)||sibling(s)||your own child/children||none,checkbox,
"In the 24 months before the incident leading to this assessment, how many days per week were you typically consuming one or more alcoholic beverages?",0-1||1-2||2-3||3-4||4-5||5-6||6-7||did not use alcohol,radiobutton,
What has your preferred alcoholic beverage(s) been for the last 2 years? (mark all that apply),Beer||Wine||Mixed drink||Unmixed liquor or liquor on ice||Desert Liqueur||Do not have a preferred alcoholic beverage||Have not drank alcohol in the last 2 years,checkbox,
"In typical situations where you drink alcohol, how many drinks do you usually consume ?",1-2||2-3||2-4||3-5||4-6||5-7||6-8||7-9||8-10||10 or more||do not drink alcohol,radiobutton,
"On special occasions (example: birthday, concert, wedding or reunion) what is the maximum number of drinks you would typically consume ?",1-2||2-3||2-4||3-5||4-6||5-7||6-8||7-9||8-10||10-12||12-14||14 or more||do not drink alcohol,radiobutton,
"Is your spouse, ex, agency or other person currrently alleging that you have a substance use problem that disqualifies you from caring for your children? ",Yes||No,radiobutton,
"Are there any legal incidents on your record that involve alcohol or drugs?  If so list the year, the original charge and the final outcome in court.",,textarea,
"Have you ever had a previous evaluation or assessment of your use of alcohol? If so, what year was it and what was the professional's conclusion and/or recommendation? ",yes||no,radiobutton,
Have you received any education or treatment for any substance abuse or dependence in the past? (mark all that apply),"Previous alcohol assessment||Education||Counseling||Intensive Outpatient Program||Inpatient Treatment||Residential Treatment||Have never received assessment, education or treatment of any kind",checkbox,
Are there witnesses who could testify in court that you are a responsible user of alcohol at all times.,,textarea, 
"Since the incident leading to this assessment, has your alcohol use",remained the same||decreased||increased||have stopped drinking completely,radiobutton,
"If you have any previous impaired driving charges (DUI or  OMVIs before the current incident) please provide the approximate date and BAC (blood alcohol concentration) that was reported for each one.  If no incidents, then write ""none"". If no BAC please indicate ""refused"", ""not applicable"" etc.", ,textarea,
"Have you ever been disciplined at work for alcohol or drug use or do you have any history of positive alcohol or drug tests that occured in your workplace? (if so please describe briefly including substance, year, etc.)",,,
"Is there other documented evidence you have problem alcohol or drug use? If so, please indicate what evidence you think exists (photos, social media, eyewitnesses, ER visits, couples counseling records, etc.)",,textarea,
"Do you feel that you are a normal drinker?  (NORMAL means that you drink an amount similar to the amount most other people that you know drink. If you think you drink less than what most other people drink, this is also considered a normal drinker in the context of this question.)  ",Yes||No,radiobutton,
Have you ever awakened the morning after some drinking the night before and found that you could not remember a part of the evening? ,Yes||No,radiobutton,
"Does your wife, husband, a parent, or close relative ever worry or complain about your drinking? ",Yes||No,radiobutton,
Can you stop drinking without a struggle after one or two drinks?,Yes||No,radiobutton,
Do you ever feel guilty about your drinking? ,Yes||No,radiobutton,
Do friends or relatives think you are a normal drinker? ,Yes||No,radiobutton,
Are you able to stop drinking when you want to? ,Yes||No,radiobutton,
Have you ever attended a meeting of Alcoholics Anonymous (AA) by your own choice?,Yes||No,radiobutton,
Have you ever gotten into physical fights when drinking ?,Yes||No,radiobutton,
Has drinking ever created problems between you and a near relative or close friend ?,Yes||No,radiobutton,
Has any family member or close friend gone to anyone for help about your drinking? ,Yes||No,radiobutton,
Have you ever lost friends because of your drinking? ,Yes||No,radiobutton,
Have you ever gotten into trouble at work because of drinking? ,Yes||No,radiobutton,
Have you ever lost a job because of drinking ? ,Yes||No,radiobutton,
"Have you ever neglected your obligations, your family, or your work for two or more days in a row because you were drinking? ",Yes||No,radiobutton,
Do you drink before noon fairly often? ,Yes||No,radiobutton,
"Have you ever been told you have liver trouble, such as cirrhosis?",Yes||No,radiobutton,
"After heavy drinking have you ever had severe shaking, visual hallucinations or seen/heard things that were really not there?",Yes||No,radiobutton,
Have you ever gone to anyone for help about your drinking?,Yes||No,radiobutton,
Have you ever been in a hospital because of drinking?,Yes||No,radiobutton,
Has your drinking ever resulted in your being hospitalized in a psychiatric facility?,Yes||No,radiobutton,
"Have you ever gone to any doctor, social worker, clergyman, or mental health clinic for help with any emotional problem in which drinking was part of the problem?",Yes||No,radiobutton,
"Have you been arrested for driving under the influence of alcohol?  If yes, how many times? ","Yes||No||If yes, how many times",radiobutton,"If yes, how many times"
"Have you ever been arrested, even for a few hours, because of alcohol related behavior other than driving under the influence (e.g. public intox., disorderly conduct, domestic violence, etc.)?","Yes||No||If yes, how many times",radiobutton,"If yes, how many times"
How often do you have a drink containing alcohol ? ,Never||Monthly or less||2-4 times a month||2-3 times a week||4 or more times a week,radiobutton,
How many drinks containing alcohol do you have on a typical day when you are drinking ? ,1 or 2||3 or 4||5 or 6||6 to 9||10 or more,radiobutton,
How often do you have six or more drinks on one occasion ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you found that you were not able to stop drinking once you had started ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you failed to do what was normally expected of you because of drinking ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you needed a first drink in the morning to get yourself going after heavy drinking the night before ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you had a feeling of guilt or remorse after drinking ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
How often during the last year have you been unable to remember what happened the night before because of your drinking ? ,Never||Less than monthly||Monthly||Weekly||Daily or almost daily,radiobutton,
Have you or someone else been injured because of your drinking ? ,"No||Yes, but not in the last year||Yes, during the last year",radiobutton,
"Has a relative, friend, doctor, or other health care worker been concerned about your drinking or suggested you to cut down ?","No||Yes, but not in the last year||Yes, during the last year",radiobutton,
"To expedite completion of your report, please indicate name and address of your attorney, probation officer, employer, or whomever will receive your report if you choose to send it to them. If you do not know the address please provide their name, city and state.",,textarea, 
"To expedite completion of your report, please indicate the name of the court in which your case is taking place.",,textarea, 
